Entry	Entry name	Status	Protein names	Gene names	Organism	Gene ontology (biological process)	Gene ontology (GO)	Gene ontology IDs
P97313	PRKDC_MOUSE	reviewed	DNA-dependent protein kinase catalytic subunit (DNA-PK catalytic subunit) (DNA-PKcs) (EC 2.7.11.1) (p460)	Prkdc Xrcc7	Mus musculus (Mouse)	activation of innate immune response [GO:0002218]; B cell lineage commitment [GO:0002326]; brain development [GO:0007420]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to insulin stimulus [GO:0032869]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; ectopic germ cell programmed cell death [GO:0035234]; heart development [GO:0007507]; immunoglobulin V(D)J recombination [GO:0033152]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lymphocyte differentiation [GO:0030098]; maturation of 5.8S rRNA [GO:0000460]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of immunoglobulin production [GO:0002638]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of response to gamma radiation [GO:2001229]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of apoptotic process [GO:0043065]; positive regulation of developmental growth [GO:0048639]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immune system process [GO:0002684]; positive regulation of lymphocyte differentiation [GO:0045621]; positive regulation of platelet formation [GO:1905221]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; pro-B cell differentiation [GO:0002328]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of epithelial cell proliferation [GO:0050678]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of smooth muscle cell proliferation [GO:0048660]; response to activity [GO:0014823]; response to gamma radiation [GO:0010332]; response to ionizing radiation [GO:0010212]; rhythmic process [GO:0048511]; small-subunit processome assembly [GO:0034462]; somitogenesis [GO:0001756]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell receptor V(D)J recombination [GO:0033153]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]	DNA-dependent protein kinase-DNA ligase 4 complex [GO:0005958]; nonhomologous end joining complex [GO:0070419]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; protein-DNA complex [GO:0032993]; small-subunit processome [GO:0032040]; transcription regulator complex [GO:0005667]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; double-stranded DNA binding [GO:0003690]; enzyme binding [GO:0019899]; protein domain specific binding [GO:0019904]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein threonine kinase activity [GO:0106311]; U3 snoRNA binding [GO:0034511]; activation of innate immune response [GO:0002218]; B cell lineage commitment [GO:0002326]; brain development [GO:0007420]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to insulin stimulus [GO:0032869]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; ectopic germ cell programmed cell death [GO:0035234]; heart development [GO:0007507]; immunoglobulin V(D)J recombination [GO:0033152]; innate immune response [GO:0045087]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; lymphocyte differentiation [GO:0030098]; maturation of 5.8S rRNA [GO:0000460]; mitotic G1 DNA damage checkpoint signaling [GO:0031571]; negative regulation of apoptotic process [GO:0043066]; negative regulation of cellular senescence [GO:2000773]; negative regulation of immunoglobulin production [GO:0002638]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of response to gamma radiation [GO:2001229]; peptidyl-serine phosphorylation [GO:0018105]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of apoptotic process [GO:0043065]; positive regulation of developmental growth [GO:0048639]; positive regulation of double-strand break repair via nonhomologous end joining [GO:2001034]; positive regulation of erythrocyte differentiation [GO:0045648]; positive regulation of fibroblast proliferation [GO:0048146]; positive regulation of immune system process [GO:0002684]; positive regulation of lymphocyte differentiation [GO:0045621]; positive regulation of platelet formation [GO:1905221]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of translation [GO:0045727]; pro-B cell differentiation [GO:0002328]; protein destabilization [GO:0031648]; protein phosphorylation [GO:0006468]; regulation of circadian rhythm [GO:0042752]; regulation of epithelial cell proliferation [GO:0050678]; regulation of hematopoietic stem cell differentiation [GO:1902036]; regulation of smooth muscle cell proliferation [GO:0048660]; response to activity [GO:0014823]; response to gamma radiation [GO:0010332]; response to ionizing radiation [GO:0010212]; rhythmic process [GO:0048511]; small-subunit processome assembly [GO:0034462]; somitogenesis [GO:0001756]; spleen development [GO:0048536]; T cell differentiation in thymus [GO:0033077]; T cell lineage commitment [GO:0002360]; T cell receptor V(D)J recombination [GO:0033153]; telomere capping [GO:0016233]; telomere maintenance [GO:0000723]; thymus development [GO:0048538]; V(D)J recombination [GO:0033151]	GO:0000460; GO:0000723; GO:0001756; GO:0001933; GO:0002218; GO:0002326; GO:0002328; GO:0002360; GO:0002638; GO:0002684; GO:0003690; GO:0004672; GO:0004674; GO:0004677; GO:0005524; GO:0005634; GO:0005654; GO:0005667; GO:0005730; GO:0005958; GO:0006302; GO:0006303; GO:0006468; GO:0006974; GO:0007420; GO:0007507; GO:0008630; GO:0010212; GO:0010332; GO:0014823; GO:0016233; GO:0018105; GO:0018107; GO:0019899; GO:0019904; GO:0030098; GO:0031571; GO:0031648; GO:0032040; GO:0032869; GO:0032991; GO:0032993; GO:0033077; GO:0033151; GO:0033152; GO:0033153; GO:0034462; GO:0034511; GO:0035234; GO:0042752; GO:0043065; GO:0043066; GO:0045087; GO:0045621; GO:0045648; GO:0045727; GO:0045944; GO:0048146; GO:0048511; GO:0048536; GO:0048538; GO:0048639; GO:0048660; GO:0050678; GO:0070419; GO:0106310; GO:0106311; GO:1902036; GO:1905221; GO:2000773; GO:2001034; GO:2001229
Q8NEZ4	KMT2C_HUMAN	reviewed	Histone-lysine N-methyltransferase 2C (Lysine N-methyltransferase 2C) (EC 2.1.1.364) (Homologous to ALR protein) (Myeloid/lymphoid or mixed-lineage leukemia protein 3)	KMT2C HALR KIAA1506 MLL3	Homo sapiens (Human)	histone H3-K4 monomethylation [GO:0097692]; positive regulation of transcription by RNA polymerase II [GO:0045944]	histone methyltransferase complex [GO:0035097]; MLL3/4 complex [GO:0044666]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; acyltransferase activity [GO:0016746]; DNA binding [GO:0003677]; histone binding [GO:0042393]; histone methyltransferase activity [GO:0042054]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; transcription coactivator activity [GO:0003713]; histone H3-K4 monomethylation [GO:0097692]; positive regulation of transcription by RNA polymerase II [GO:0045944]	GO:0003677; GO:0003713; GO:0003723; GO:0005634; GO:0005654; GO:0016746; GO:0035097; GO:0042054; GO:0042393; GO:0042800; GO:0044666; GO:0045944; GO:0046872; GO:0097692
A6QL88	SAC1_BOVIN	reviewed	Phosphatidylinositol-3-phosphatase SAC1 (EC 3.1.3.64) (Phosphatidylinositol-4-phosphate phosphatase) (Suppressor of actin mutations 1-like protein)	SACM1L SAC1	Bos taurus (Bovine)	phosphatidylinositol dephosphorylation [GO:0046856]	endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; endoplasmic reticulum-plasma membrane contact site [GO:0140268]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of membrane [GO:0016021]; phosphatase activity [GO:0016791]; phosphatidylinositol-3-phosphatase activity [GO:0004438]; phosphatidylinositol-4-phosphate phosphatase activity [GO:0043812]; phosphatidylinositol dephosphorylation [GO:0046856]	GO:0000139; GO:0004438; GO:0005783; GO:0005789; GO:0005794; GO:0016021; GO:0016791; GO:0043812; GO:0046856; GO:0140268
E9PZZ1	PRD13_MOUSE	reviewed	PR domain zinc finger protein 13 (EC 2.1.1.-) (PR domain-containing protein 13)	Prdm13	Mus musculus (Mouse)	negative regulation of transcription by RNA polymerase II [GO:0000122]; neurogenesis [GO:0022008]; regulation of gene expression [GO:0010468]	nucleus [GO:0005634]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; histone methyltransferase activity [GO:0042054]; metal ion binding [GO:0046872]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; negative regulation of transcription by RNA polymerase II [GO:0000122]; neurogenesis [GO:0022008]; regulation of gene expression [GO:0010468]	GO:0000122; GO:0003677; GO:0003682; GO:0005634; GO:0010468; GO:0022008; GO:0042054; GO:0046872; GO:0061629
Q96LT4	SAMD8_HUMAN	reviewed	Sphingomyelin synthase-related protein 1 (SMSr) (EC 2.7.8.-) (Ceramide phosphoethanolamine synthase) (CPE synthase) (Sterile alpha motif domain-containing protein 8) (SAM domain-containing protein 8)	SAMD8	Homo sapiens (Human)	ceramide biosynthetic process [GO:0046513]; ceramide phosphoethanolamine biosynthetic process [GO:1905373]; regulation of ceramide biosynthetic process [GO:2000303]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]	cytosol [GO:0005829]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; integral component of endoplasmic reticulum membrane [GO:0030176]; integral component of Golgi membrane [GO:0030173]; integral component of membrane [GO:0016021]; integral component of plasma membrane [GO:0005887]; ceramide cholinephosphotransferase activity [GO:0047493]; ceramide phosphoethanolamine synthase activity [GO:0002950]; sphingomyelin synthase activity [GO:0033188]; ceramide biosynthetic process [GO:0046513]; ceramide phosphoethanolamine biosynthetic process [GO:1905373]; regulation of ceramide biosynthetic process [GO:2000303]; sphingolipid biosynthetic process [GO:0030148]; sphingomyelin biosynthetic process [GO:0006686]	GO:0002950; GO:0005783; GO:0005789; GO:0005829; GO:0005887; GO:0006686; GO:0016021; GO:0030148; GO:0030173; GO:0030176; GO:0033188; GO:0046513; GO:0047493; GO:1905373; GO:2000303
Q86UP8	GTD2A_HUMAN	reviewed	General transcription factor II-I repeat domain-containing protein 2A (GTF2I repeat domain-containing protein 2A) (Transcription factor GTF2IRD2-alpha)	GTF2IRD2 GTF2IRD2A	Homo sapiens (Human)		nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]	GO:0000981; GO:0003677; GO:0005634
P16157	ANK1_HUMAN	reviewed	Ankyrin-1 (ANK-1) (Ankyrin-R) (Erythrocyte ankyrin)	ANK1 ANK	Homo sapiens (Human)	cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	axolemma [GO:0030673]; basolateral plasma membrane [GO:0016323]; cytoplasmic side of plasma membrane [GO:0009898]; cytoskeleton [GO:0005856]; cytosol [GO:0005829]; M band [GO:0031430]; neuron projection [GO:0043005]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; postsynaptic membrane [GO:0045211]; sarcolemma [GO:0042383]; sarcoplasmic reticulum [GO:0016529]; spectrin-associated cytoskeleton [GO:0014731]; Z disc [GO:0030018]; ATPase binding [GO:0051117]; cytoskeletal anchor activity [GO:0008093]; enzyme binding [GO:0019899]; protein phosphatase binding [GO:0019903]; spectrin binding [GO:0030507]; structural constituent of cytoskeleton [GO:0005200]; structural molecule activity [GO:0005198]; transmembrane transporter binding [GO:0044325]; cytoskeleton organization [GO:0007010]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; exocytosis [GO:0006887]; maintenance of epithelial cell apical/basal polarity [GO:0045199]; positive regulation of organelle organization [GO:0010638]; protein localization to plasma membrane [GO:0072659]; signal transduction [GO:0007165]	GO:0005198; GO:0005200; GO:0005634; GO:0005829; GO:0005856; GO:0005886; GO:0006887; GO:0006888; GO:0007010; GO:0007165; GO:0008093; GO:0009898; GO:0010638; GO:0014731; GO:0016323; GO:0016529; GO:0019899; GO:0019903; GO:0030018; GO:0030507; GO:0030673; GO:0031430; GO:0042383; GO:0043005; GO:0044325; GO:0045199; GO:0045211; GO:0051117; GO:0072659
Q5I020	ZNT8_XENLA	reviewed	Zinc transporter 8 (ZnT-8) (Solute carrier family 30 member 8)	slc30a8	Xenopus laevis (African clawed frog)	cellular zinc ion homeostasis [GO:0006882]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; transport vesicle membrane [GO:0030658]; zinc ion transmembrane transporter activity [GO:0005385]; cellular zinc ion homeostasis [GO:0006882]	GO:0005385; GO:0005886; GO:0006882; GO:0016021; GO:0030658
Q7ZW24	ALG11_DANRE	reviewed	GDP-Man:Man(3)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase (EC 2.4.1.131) (Asparagine-linked glycosylation protein 11 homolog) (Glycolipid 2-alpha-mannosyltransferase)	alg11	Danio rerio (Zebrafish) (Brachydanio rerio)	oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein N-linked glycosylation [GO:0006487]	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; membrane [GO:0016020]; GDP-Man:Man3GlcNAc2-PP-Dol alpha-1,2-mannosyltransferase activity [GO:0004377]; oligosaccharide-lipid intermediate biosynthetic process [GO:0006490]; protein N-linked glycosylation [GO:0006487]	GO:0004377; GO:0005789; GO:0006487; GO:0006490; GO:0016020; GO:0016021
Q91XL9	OSBL1_MOUSE	reviewed	Oxysterol-binding protein-related protein 1 (ORP-1) (OSBP-related protein 1)	Osbpl1a Orp1 Orp1a Orp1l	Mus musculus (Mouse)		cytosol [GO:0005829]; endosome [GO:0005768]; intracellular membrane-bounded organelle [GO:0043231]; late endosome [GO:0005770]; membrane [GO:0016020]; organelle membrane contact site [GO:0044232]; cholesterol binding [GO:0015485]; sterol binding [GO:0032934]; sterol transporter activity [GO:0015248]	GO:0005768; GO:0005770; GO:0005829; GO:0015248; GO:0015485; GO:0016020; GO:0032934; GO:0043231; GO:0044232
Q9H252	KCNH6_HUMAN	reviewed	Potassium voltage-gated channel subfamily H member 6 (Ether-a-go-go-related gene potassium channel 2) (ERG-2) (Eag-related protein 2) (Ether-a-go-go-related protein 2) (hERG-2) (hERG2) (Voltage-gated potassium channel subunit Kv11.2)	KCNH6 ERG2	Homo sapiens (Human)	potassium ion transmembrane transport [GO:0071805]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391]	integral component of plasma membrane [GO:0005887]; plasma membrane [GO:0005886]; voltage-gated potassium channel activity [GO:0005249]; potassium ion transmembrane transport [GO:0071805]; regulation of heart rate by cardiac conduction [GO:0086091]; regulation of ion transmembrane transport [GO:0034765]; regulation of membrane potential [GO:0042391]	GO:0005249; GO:0005886; GO:0005887; GO:0034765; GO:0042391; GO:0071805; GO:0086091
E7FBS9	DHC5B_DANRE	reviewed	Palmitoyltransferase ZDHHC5-B (EC 2.3.1.225) (Zdhhc5-like) (Zinc finger DHHC domain-containing protein 5-B) (DHHC-5B)	zdhhc5b	Danio rerio (Zebrafish) (Brachydanio rerio)	protein palmitoylation [GO:0018345]	integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; palmitoyltransferase activity [GO:0016409]; protein-cysteine S-palmitoyltransferase activity [GO:0019706]; protein palmitoylation [GO:0018345]	GO:0005886; GO:0016021; GO:0016409; GO:0018345; GO:0019706
P49867	FTZF1_BOMMO	reviewed	Nuclear hormone receptor FTZ-F1 (BmFTZ-F1) (Nuclear receptor subfamily 5 group A member 3)	FTZ-F1 NR5A3	Bombyx mori (Silk moth)		nucleus [GO:0005634]; nuclear receptor activity [GO:0004879]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]	GO:0004879; GO:0005634; GO:0008270; GO:0043565
A8MUU9	YV023_HUMAN	reviewed	Putative uncharacterized protein ENSP00000383309		Homo sapiens (Human)			
Q5RBG1	RAB5B_PONAB	reviewed	Ras-related protein Rab-5B (EC 3.6.5.2)	RAB5B	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	protein transport [GO:0015031]	early endosome membrane [GO:0031901]; melanosome [GO:0042470]; plasma membrane [GO:0005886]; G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; protein transport [GO:0015031]	GO:0003925; GO:0005525; GO:0005886; GO:0015031; GO:0019003; GO:0031901; GO:0042470
Q9V831	APC10_DROME	reviewed	Anaphase-promoting complex subunit 10 (APC10) (Cyclosome subunit 10)	APC10 CG11419	Drosophila melanogaster (Fruit fly)	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; endomitotic cell cycle [GO:0007113]; mitotic cell cycle [GO:0000278]; protein K11-linked ubiquitination [GO:0070979]; regulation of stem cell differentiation [GO:2000736]	anaphase-promoting complex [GO:0005680]; anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell division [GO:0051301]; endomitotic cell cycle [GO:0007113]; mitotic cell cycle [GO:0000278]; protein K11-linked ubiquitination [GO:0070979]; regulation of stem cell differentiation [GO:2000736]	GO:0000278; GO:0005680; GO:0007113; GO:0031145; GO:0051301; GO:0070979; GO:2000736
